ZIP,POP,AREA_MILE,STATE,COUNTY,POP_DEN,Type
00685,40102,77.533,72,71,517.2249235809268,Rural
00687,32087,38.871,72,101,825.4740037560134,Rural
00688,12797,31.818,72,13,402.1937268212961,Rural
00690,5328,2.8160000000000003,72,5,1892.0454545454543,Suburban
00692,36700,26.76,72,143,1371.4499252615844,Suburban
00693,57428,39.324,72,143,1460.3804292543994,Suburban
00694,66,0.799,72,145,82.60325406758447,Rural
00698,38502,69.619,72,59,553.0386819690027,Rural
00703,27797,29.674,72,7,936.7459729055739,Rural
00704,8390,4.876,72,57,1720.672682526661,Suburban
00705,24387,31.949,72,9,763.3102757519797,Rural
00707,11506,21.066,72,95,546.188170511725,Rural
00714,18640,14.619000000000002,72,15,1275.0530132019974,Suburban
00715,3692,7.869,72,75,469.1828694878638,Rural
00716,29351,8.562000000000001,72,113,3428.054192945573,Urban
00717,17958,2.102,72,113,8543.292102759277,Urban
00718,26460,45.24,72,103,584.8806366047745,Rural
00719,30094,28.003,72,47,1074.670571010249,Suburban
00720,22148,59.607,72,43,371.5670978240811,Rural
00723,18135,46.16,72,109,392.8726169844021,Rural
00725,83479,42.224,72,7,1977.0509662751044,Suburban
00727,57079,21.497,72,25,2655.2077034004747,Suburban
00728,41245,15.647,72,113,2635.9685562727677,Suburban
00729,52897,33.961,72,29,1557.580754394747,Suburban
00730,33899,6.515,72,113,5203.223330775135,Urban
00731,14988,47.733999999999995,72,1,313.99002807223366,Rural
00735,12798,23.309,72,37,549.0583036595307,Rural
00736,49841,55.098,72,35,904.5881883189952,Rural
00738,32409,29.476999999999997,72,53,1099.46738134817,Suburban
00739,37558,31.58,72,41,1189.2970234325524,Suburban
00740,1503,0.426,72,53,3528.169014084507,Urban
00741,5042,2.363,72,69,2133.7283114684724,Suburban
00745,53395,51.611000000000004,72,29,1034.566274631377,Suburban
00751,22110,46.964,72,123,470.7861340601312,Rural
00754,39218,51.028999999999996,72,129,768.5433772952636,Rural
00757,22732,29.833000000000002,72,133,761.9749941340126,Rural
00765,8801,19.039,72,147,462.26167340721673,Rural
00766,24489,40.039,72,107,611.6286620544969,Rural
00767,35734,55.406000000000006,72,69,644.9482005558964,Rural
00769,39630,76.514,72,43,517.9444284706067,Rural
00771,38132,33.819,72,85,1127.5318607883141,Suburban
00772,21096,14.635,72,87,1441.4759139050223,Suburban
00773,19237,24.311999999999998,72,89,791.255347153669,Rural
00775,1493,10.561,72,49,141.36918852381405,Rural
00777,40398,26.581,72,29,1519.807381212144,Suburban
00778,46990,29.644000000000002,72,63,1585.143705302928,Suburban
00780,11597,20.121,72,75,576.3630038268476,Rural
00782,18544,26.644000000000002,72,45,695.9915928539258,Rural
00783,34702,41.841,72,47,829.3778829377883,Rural
00784,41993,55.551,72,57,755.9359867509136,Rural
00786,287,0.257,72,9,1116.7315175097276,Suburban
00791,50515,36.964,72,69,1366.599935071962,Suburban
00794,29635,35.297,72,19,839.5897668357085,Rural
00795,45852,46.257,72,75,991.2445683896492,Rural
00901,6541,0.9790000000000001,72,127,6681.307456588354,Urban
00906,76,0.003,72,127,25333.333333333332,Urban
00907,17472,1.204,72,127,14511.627906976744,Urban
00909,5563,0.61,72,127,9119.672131147541,Urban
00911,7227,0.47600000000000003,72,127,15182.773109243697,Urban
00912,5758,0.33299999999999996,72,127,17291.291291291294,Urban
00913,8333,0.322,72,127,25878.88198757764,Urban
00915,28173,1.3969999999999998,72,127,20166.78596993558,Urban
00917,19005,1.297,72,127,14653.045489591366,Urban
00918,16400,2.13,72,127,7699.530516431925,Urban
00920,17576,2.843,72,127,6182.20189940204,Urban
00921,36104,2.674,72,127,13501.8698578908,Urban
00923,25745,2.041,72,127,12613.91474767271,Urban
00924,54062,4.69,72,31,11527.078891257996,Urban
00925,6924,0.447,72,127,15489.93288590604,Urban
00926,101337,24.162,72,61,4194.065060839334,Urban
00927,14229,2.627,72,127,5416.444613627713,Urban
00934,67,0.7490000000000001,72,21,89.45260347129505,Rural
00936,893,0.161,72,127,5546.583850931677,Urban
00949,77458,17.581,72,33,4405.778965929128,Urban
00950,0,2.396,72,51,0.0,Rural
00951,8,0.415,72,137,19.27710843373494,Rural
00952,9078,1.237,72,137,7338.722716248989,Urban
00953,72712,26.697,72,47,2723.6019028355245,Suburban
00956,71602,26.473000000000003,72,21,2704.7180145808934,Suburban
00957,42155,4.621,72,21,9122.484310755246,Urban
00959,48349,6.416,72,21,7535.692019950125,Urban
00960,2429,0.914,72,21,2657.549234135667,Suburban
00961,30655,5.175,72,21,5923.671497584542,Urban
00962,20509,3.818,72,33,5371.660555264536,Urban
00965,7543,0.674,72,33,11191.394658753708,Urban
00966,15981,3.22,72,21,4963.043478260869,Urban
00968,3293,0.45799999999999996,72,61,7189.95633187773,Urban
00969,43372,4.8839999999999995,72,21,8880.42588042588,Urban
00971,28550,15.963,72,21,1788.5109315291613,Suburban
00976,61084,16.738,72,31,3649.420480344127,Urban
00979,15019,1.5630000000000002,72,31,9609.085092770312,Urban
00982,14874,1.4180000000000001,72,31,10489.421720733426,Urban
00983,38533,3.4610000000000003,72,31,11133.487431378213,Urban
00985,33320,8.135,72,31,4095.881991395206,Urban
00987,58705,24.846,72,31,2362.754568139741,Suburban
01001,17423,11.505,25,13,1514.3850499782702,Suburban
01002,29970,55.065,25,11,544.2658676110052,Rural
01003,11296,0.711,25,15,15887.48241912799,Urban
01005,5228,44.262,25,27,118.11486150648412,Rural
01007,14888,52.601000000000006,25,15,283.0364441740651,Rural
01008,1194,53.802,25,13,22.19248355079737,Rural
01009,237,0.812,25,13,291.87192118226596,Rural
01010,3718,34.772,25,13,106.92511215920857,Rural
01011,1523,31.595,25,13,48.20382971989239,Rural
01012,528,13.116,25,15,40.256175663311986,Rural
01013,22943,5.624,25,13,4079.48079658606,Urban
01020,30629,12.470999999999998,25,13,2456.017961671077,Suburban
01022,2528,4.765,25,13,530.5351521511018,Rural
01026,1018,24.005,25,15,42.40783170172881,Rural
01027,17872,40.5,25,15,441.28395061728395,Rural
01028,16063,12.936,25,13,1241.7285095856525,Suburban
01029,760,15.85,25,3,47.94952681388013,Rural
01030,11278,11.834000000000001,25,13,953.0167314517491,Rural
01031,1192,8.113,25,27,146.9246887711081,Rural
01032,590,11.764000000000001,25,15,50.153009180550825,Rural
01033,6310,27.814,25,15,226.864169123463,Rural
01034,2323,71.638,25,13,32.426924258075324,Rural
01035,5338,23.083000000000002,25,15,231.25243685829398,Rural
01036,5190,19.48,25,13,266.4271047227926,Rural
01037,755,14.106,25,27,53.52332340847866,Rural
01038,2853,9.988999999999999,25,15,285.6141755931525,Rural
01039,1194,13.215,25,11,90.35187287173666,Rural
01040,40280,21.261999999999997,25,13,1894.4595992851098,Suburban
01050,2343,38.326,25,13,61.13343422219903,Rural
01053,1697,5.131,25,15,330.73474956148897,Rural
01054,1972,22.79,25,11,86.5291794646775,Rural
01056,21352,27.205,25,13,784.8557250505422,Rural
01057,8773,44.96,25,13,195.12900355871886,Rural
01060,15407,10.924000000000001,25,15,1410.3808128890514,Suburban
01062,10867,18.153,25,15,598.6338346278852,Rural
01063,563,0.039,25,15,14435.897435897436,Urban
01066,12,0.711,25,15,16.877637130801688,Rural
01068,1825,20.820999999999998,25,27,87.65188991883196,Rural
01069,8753,28.076999999999998,25,13,311.74983082238134,Rural
01070,562,20.596,25,15,27.28685181588658,Rural
01071,1271,15.564,25,13,81.66281161655101,Rural
01072,1542,20.073,25,11,76.8196084292333,Rural
01073,6081,28.151999999999997,25,15,216.0059676044331,Rural
01074,228,0.085,25,27,2682.3529411764703,Suburban
01075,17770,17.717,25,15,1002.991477112378,Suburban
01077,9650,30.822,25,13,313.08805398741157,Rural
01079,811,1.131,25,13,717.0645446507516,Rural
01080,2452,1.7269999999999999,25,13,1419.8031268094962,Suburban
01081,1823,14.515,25,13,125.59421288322424,Rural
01082,10612,46.12,25,15,230.09540329575023,Rural
01083,3148,15.753,25,27,199.8349520726211,Rural
01084,154,9.189,25,15,16.75916857111764,Rural
01085,41479,59.705,25,13,694.7324344694749,Rural
01086,690,0.037000000000000005,25,13,18648.648648648646,Urban
01088,433,5.196000000000001,25,15,83.33333333333333,Rural
01089,28575,16.727,25,13,1708.3158964548334,Suburban
01092,1191,6.709,25,27,177.52273066030705,Rural
01093,289,5.043,25,11,57.307158437438034,Rural
01094,347,1.1420000000000001,25,27,303.8528896672504,Rural
